id, order_time, fill_time, price, side, status, quantity/lot, fill_price, order_type
0, 2018-01-02 09:16:00, None, 10490.55, SELL, PENDING, 1,0, AGGRESSIVE
1, 2018-01-02 09:16:00, None, 11015.08, BUY, PENDING, 1,0, SL_LIMIT
2, 2018-01-02 09:16:00, None, 9966.02, BUY, PENDING, 1,0, LIMIT
3, 2018-01-04 15:15:00, None, 10484.95, BUY, PENDING, 1,0, AGGRESSIVE
4, 2018-01-08 09:16:00, None, 10603.6, SELL, PENDING, 1,0, AGGRESSIVE
5, 2018-01-08 09:16:00, None, 11133.78, BUY, PENDING, 1,0, SL_LIMIT
6, 2018-01-08 09:16:00, None, 10073.42, BUY, PENDING, 1,0, LIMIT
7, 2018-01-08 15:15:00, None, 10606.7, BUY, PENDING, 1,0, AGGRESSIVE
8, 2018-01-18 09:16:00, None, 10870.0, SELL, PENDING, 1,0, AGGRESSIVE
9, 2018-01-18 09:16:00, None, 11413.5, BUY, PENDING, 1,0, SL_LIMIT
10, 2018-01-18 09:16:00, None, 10326.5, BUY, PENDING, 1,0, LIMIT
11, 2018-01-18 15:15:00, None, 10861.0, BUY, PENDING, 1,0, AGGRESSIVE
12, 2018-02-01 09:16:00, None, 11075.25, SELL, PENDING, 1,0, AGGRESSIVE
13, 2018-02-01 09:16:00, None, 11629.01, BUY, PENDING, 1,0, SL_LIMIT
14, 2018-02-01 09:16:00, None, 10521.49, BUY, PENDING, 1,0, LIMIT
15, 2018-02-01 12:16:00, None, 11000.3, BUY, PENDING, 1,0, AGGRESSIVE
16, 2018-02-01 12:16:00, None, 10450.28, SELL, PENDING, 1,0, SL_LIMIT
17, 2018-02-01 12:16:00, None, 11550.32, SELL, PENDING, 1,0, LIMIT
18, 2018-02-05 09:16:00, None, 10608.8, BUY, PENDING, 1,0, AGGRESSIVE
19, 2018-02-05 09:16:00, None, 10078.36, SELL, PENDING, 1,0, SL_LIMIT
20, 2018-02-05 09:16:00, None, 11139.24, SELL, PENDING, 1,0, LIMIT
21, 2018-02-05 15:15:00, None, 10641.85, SELL, PENDING, 1,0, AGGRESSIVE
22, 2018-02-06 13:40:00, None, 10434.15, SELL, PENDING, 1,0, AGGRESSIVE
23, 2018-02-06 13:40:00, None, 10955.86, BUY, PENDING, 1,0, SL_LIMIT
24, 2018-02-06 13:40:00, None, 9912.44, BUY, PENDING, 1,0, LIMIT
25, 2018-02-07 09:16:00, None, 10587.1, SELL, PENDING, 1,0, AGGRESSIVE
26, 2018-02-07 09:16:00, None, 11116.45, BUY, PENDING, 1,0, SL_LIMIT
27, 2018-02-07 09:16:00, None, 10057.75, BUY, PENDING, 1,0, LIMIT
28, 2018-02-09 09:16:00, None, 10410.05, BUY, PENDING, 1,0, AGGRESSIVE
29, 2018-02-09 09:16:00, None, 9889.55, SELL, PENDING, 1,0, SL_LIMIT
30, 2018-02-09 09:16:00, None, 10930.55, SELL, PENDING, 1,0, LIMIT
31, 2018-02-09 15:15:00, None, 10462.8, BUY, PENDING, 1,0, AGGRESSIVE
32, 2018-02-15 09:16:00, None, 10527.65, SELL, PENDING, 1,0, AGGRESSIVE
33, 2018-02-15 09:16:00, None, 11054.03, BUY, PENDING, 1,0, SL_LIMIT
34, 2018-02-15 09:16:00, None, 10001.27, BUY, PENDING, 1,0, LIMIT
35, 2018-02-15 15:15:00, None, 10566.85, BUY, PENDING, 1,0, AGGRESSIVE
36, 2018-02-21 09:16:00, None, 10403.45, SELL, PENDING, 1,0, AGGRESSIVE
37, 2018-02-21 09:16:00, None, 10923.62, BUY, PENDING, 1,0, SL_LIMIT
38, 2018-02-21 09:16:00, None, 9883.28, BUY, PENDING, 1,0, LIMIT
39, 2018-02-22 09:16:00, None, 10346.6, BUY, PENDING, 1,0, AGGRESSIVE
40, 2018-02-22 09:16:00, None, 9829.27, SELL, PENDING, 1,0, SL_LIMIT
41, 2018-02-22 09:16:00, None, 10863.93, SELL, PENDING, 1,0, LIMIT
42, 2018-02-28 09:16:00, None, 10472.1, BUY, PENDING, 1,0, AGGRESSIVE
43, 2018-02-28 09:16:00, None, 9948.5, SELL, PENDING, 1,0, SL_LIMIT
44, 2018-02-28 09:16:00, None, 10995.7, SELL, PENDING, 1,0, LIMIT
45, 2018-03-01 15:15:00, None, 10488.5, SELL, PENDING, 1,0, AGGRESSIVE
46, 2018-03-06 09:16:00, None, 10421.45, SELL, PENDING, 1,0, AGGRESSIVE
47, 2018-03-06 09:16:00, None, 10942.52, BUY, PENDING, 1,0, SL_LIMIT
48, 2018-03-06 09:16:00, None, 9900.38, BUY, PENDING, 1,0, LIMIT
49, 2018-03-07 09:16:00, None, 10206.95, BUY, PENDING, 1,0, AGGRESSIVE
50, 2018-03-07 09:16:00, None, 9696.6, SELL, PENDING, 1,0, SL_LIMIT
51, 2018-03-07 09:16:00, None, 10717.3, SELL, PENDING, 1,0, LIMIT
52, 2018-03-08 09:16:00, None, 10237.6, SELL, PENDING, 1,0, AGGRESSIVE
53, 2018-03-08 09:16:00, None, 10749.48, BUY, PENDING, 1,0, SL_LIMIT
54, 2018-03-08 09:16:00, None, 9725.72, BUY, PENDING, 1,0, LIMIT
55, 2018-03-08 15:15:00, None, 10217.45, BUY, PENDING, 1,0, AGGRESSIVE
56, 2018-03-12 09:16:00, None, 10320.95, SELL, PENDING, 1,0, AGGRESSIVE
57, 2018-03-12 09:16:00, None, 10837.0, BUY, PENDING, 1,0, SL_LIMIT
58, 2018-03-12 09:16:00, None, 9804.9, BUY, PENDING, 1,0, LIMIT
59, 2018-03-12 15:15:00, None, 10367.8, BUY, PENDING, 1,0, AGGRESSIVE
60, 2018-03-21 09:16:00, None, 10182.25, SELL, PENDING, 1,0, AGGRESSIVE
61, 2018-03-21 09:16:00, None, 10691.36, BUY, PENDING, 1,0, SL_LIMIT
62, 2018-03-21 09:16:00, None, 9673.14, BUY, PENDING, 1,0, LIMIT
63, 2018-03-22 15:15:00, None, 10157.55, BUY, PENDING, 1,0, AGGRESSIVE
64, 2018-03-28 09:16:00, None, 10131.7, BUY, PENDING, 1,0, AGGRESSIVE
65, 2018-03-28 09:16:00, None, 9625.12, SELL, PENDING, 1,0, SL_LIMIT
66, 2018-03-28 09:16:00, None, 10638.28, SELL, PENDING, 1,0, LIMIT
67, 2018-04-05 09:16:00, None, 10255.45, SELL, PENDING, 1,0, AGGRESSIVE
68, 2018-04-05 09:16:00, None, 10768.22, BUY, PENDING, 1,0, SL_LIMIT
69, 2018-04-05 09:16:00, None, 9742.68, BUY, PENDING, 1,0, LIMIT
70, 2018-04-05 15:15:00, None, 10282.6, BUY, PENDING, 1,0, AGGRESSIVE
71, 2018-04-27 09:16:00, None, 10675.05, SELL, PENDING, 1,0, AGGRESSIVE
72, 2018-04-27 09:16:00, None, 11208.8, BUY, PENDING, 1,0, SL_LIMIT
73, 2018-04-27 09:16:00, None, 10141.3, BUY, PENDING, 1,0, LIMIT
74, 2018-04-27 15:15:00, None, 10687.05, BUY, PENDING, 1,0, AGGRESSIVE
75, 2018-05-11 09:16:00, None, 10758.7, SELL, PENDING, 1,0, AGGRESSIVE
76, 2018-05-11 09:16:00, None, 11296.64, BUY, PENDING, 1,0, SL_LIMIT
77, 2018-05-11 09:16:00, None, 10220.76, BUY, PENDING, 1,0, LIMIT
78, 2018-05-11 15:15:00, None, 10767.7, BUY, PENDING, 1,0, AGGRESSIVE
79, 2018-05-16 09:16:00, None, 10755.3, BUY, PENDING, 1,0, AGGRESSIVE
80, 2018-05-16 09:16:00, None, 10217.53, SELL, PENDING, 1,0, SL_LIMIT
81, 2018-05-16 09:16:00, None, 11293.07, SELL, PENDING, 1,0, LIMIT
82, 2018-05-17 15:15:00, None, 10708.7, SELL, PENDING, 1,0, AGGRESSIVE
83, 2018-05-30 09:16:00, None, 10572.5, BUY, PENDING, 1,0, AGGRESSIVE
84, 2018-05-30 09:16:00, None, 10043.88, SELL, PENDING, 1,0, SL_LIMIT
